Year,Month,Min,Avg,Max
1994,1,-6.1,-2.2,3.7
1994,2,-6,-1.6,5.1
1994,3,-0.7,5.5,14.3
1994,4,0.5,5.9,12.4
1994,5,5.6,11.9,18.4
1994,6,7.4,14.8,22.6
1994,7,10.5,17.5,26.4
1994,8,10.4,17.5,26.2
1994,9,8.2,13.1,19.9
1994,10,1.6,6.7,13.8
1994,11,0.4,4,9.8
1994,12,-4.9,-1.8,3.5
1995,1,-10,-5.2,1.7
1995,2,-4.2,-0.1,6.3
1995,3,-4,1.3,8.2
1995,4,0.6,6.9,14.5
1995,5,4.8,11,18
1995,6,7.6,13.2,19.8
1995,7,11.3,18.2,26.7
1995,8,9.1,15,22.5
1995,9,5.4,10.6,17.5
1995,10,1.9,8,17.4
1995,11,-3.1,1.5,7.3
1995,12,-5.7,-2.3,1.6
1996,1,-4.5,-1.8,2.6
1996,2,-8.7,-3.3,4.7
1996,3,-5.1,1.1,8.6
1996,4,1.3,7.2,14.2
1996,5,5.6,11.7,18.4
1996,6,7.9,15.8,23.8
1996,7,9.2,16.1,23.4
1996,8,9.6,15,22.6
1996,9,3.6,9.7,17.3
1996,10,2.5,6.9,12.8
1996,11,-0.8,2.4,6.9
1996,12,-5.4,-2.5,1.9
1997,1,-5.1,-1.6,4.6
1997,2,-5.5,-0.6,7.2
1997,3,-2.3,4.4,13.4
1997,4,-2.3,5.5,13.7
1997,5,4.1,11.5,19.3
1997,6,9.8,14.5,20.5
1997,7,8.2,15.4,23.6
1997,8,10.2,16.3,24.1
1997,9,6.9,13.7,22.8
1997,10,1.1,7.1,15.3
1997,11,-0.9,2.5,7.6
1997,12,-3.7,-1.3,2.3
1998,1,-6.6,-3,3.4
1998,2,-5.7,0.2,10.2
1998,3,-4.5,2.7,11.7
1998,4,1.9,6.3,11.9
1998,5,5.1,11.8,19.5
1998,6,9.2,15.7,23.4
1998,7,10,17.1,25.2
1998,8,9.6,17.1,26.1
1998,9,6.2,11.8,19.1
1998,10,2.5,6.8,13.1
1998,11,-4.4,-0.3,5.3
1998,12,-7.8,-3.8,2.1
1999,1,-8.6,-4.2,3.2
1999,2,-8,-2.4,4.9
1999,3,-2.4,2.7,10.5
1999,4,1.1,7.2,14.7
1999,5,7.5,12.9,19.8
1999,6,7.9,14.4,21.7
1999,7,10.4,16.9,24.6
1999,8,11.6,16.7,23.6
1999,9,8,13.7,21
1999,10,3.4,7.9,14.5
1999,11,-3.4,0.1,5.9
1999,12,-8.5,-4.5,0.8
2000,1,-10.8,-5.8,2.3
2000,2,-5.8,-0.7,7.5
2000,3,-2.4,3.5,11.2
2000,4,2.7,8.4,15.3
2000,5,6.5,13,20.3
2000,6,8.2,16.3,25
2000,7,8.4,15.2,22.8
2000,8,9.6,17,25.9
2000,9,6.7,12.8,21.2
2000,10,5.4,8.8,13.9
2000,11,0.5,2.9,6
2000,12,-3.7,-1,3.2
2001,1,-5.1,-1.8,2.6
2001,2,-4.7,-0.3,7.4
2001,3,0.2,4.7,10.7
2001,4,-1.1,5.5,13.1
2001,5,6,13.4,22
2001,6,6.6,14.4,22.1
2001,7,9.9,16.9,24.9
2001,8,10.1,17.4,26.3
2001,9,4.3,9.8,16.2
2001,10,4.6,9.4,16.7
2001,11,-3.9,0,6.6
2001,12,-9.7,-5.5,0.7
2002,1,-9.5,-5.1,2.3
2002,2,-4.2,0.2,7.4
2002,3,-1.4,4.6,13.1
2002,4,1.1,6.8,13.5
2002,5,6.6,12,18.2
2002,6,10.2,17,24.4
2002,7,10.8,17.2,24.7
2002,8,9.8,15.9,23.5
2002,9,5.8,11.2,18.6
2002,10,2.7,7.4,13.9
2002,11,1.1,4.1,8.2
2002,12,-3,-0.5,3.1
2003,1,-7.6,-3.7,3
2003,2,-10.4,-4.3,5.3
2003,3,-3.1,4,14.1
2003,4,0.6,6.2,12.9
2003,5,5,13.2,21.6
2003,6,10.7,18.2,27.4
2003,7,10.7,17.9,26.2
2003,8,10.9,18.6,28.2
2003,9,4.2,11.2,20.1
2003,10,1.1,5.1,10.8
2003,11,-0.7,2.1,7.4
2003,12,-5.5,-2.5,1.6
2004,1,-9.2,-5,1.5
2004,2,-6.5,-1.6,5
2004,3,-3.1,1.4,8.1
2004,4,2.3,7.3,13.4
2004,5,3.3,9.8,16.8
2004,6,8.2,14.9,22.2
2004,7,9.3,16.1,23.8
2004,8,11.1,16.7,24.1
2004,9,6.2,12.5,20.2
2004,10,6.8,10.1,14.6
2004,11,-1.6,1.8,7.1
2004,12,-6.2,-3.2,1.2
2005,1,-9.9,-5.5,1.4
2005,2,-9.2,-3.7,3.6
2005,3,-4.3,1.9,9.9
2005,4,1.5,6.9,13.3
2005,5,5.4,12.4,20.1
2005,6,9.2,15.9,23.4
2005,7,9.9,16.8,24.2
2005,8,9.3,15.1,22.3
2005,9,8,12.9,19.5
2005,10,2.8,7.2,13.4
2005,11,-2.2,1.1,6.2
2005,12,-9,-5.3,-0.4
2006,1,-9.6,-5.5,1.2
2006,2,-6.5,-2.4,4.6
2006,3,-3.1,1.5,7.6
2006,4,1.2,6.8,13.5
2006,5,5.1,11.5,17.9
2006,6,7.7,15.2,23.4
2006,7,11.1,18.8,27.6
2006,8,8,13.2,20.2
2006,9,7.7,13.8,21.9
2006,10,4.4,9.1,15.5
2006,11,-1.5,2.3,8
2006,12,-4.1,-1.6,2.8
2007,1,-4.7,-1.3,4.6
2007,2,-3.7,0.4,7.7
2007,3,-2.1,3.4,11.1
2007,4,2.3,10.2,19.2
2007,5,6.1,12.7,20.5
2007,6,10.3,15.8,22.1
2007,7,9,16.9,25.1
2007,8,9.6,15.3,22.5
2007,9,4.1,10.5,18.5
2007,10,1.8,6.7,13.2
2007,11,-2.7,0.7,6.3
2007,12,-6.6,-3.4,1.7
2008,1,-4.7,-1.6,3.2
2008,2,-4.9,-0.4,7.8
2008,3,-2.3,2.3,8.5
2008,4,1.5,6.4,12.6
2008,5,5.9,12.3,19
2008,6,10.1,15.8,22.7
2008,7,10.5,16.5,24.1
2008,8,10.6,16.8,24.6
2008,9,6,11.3,18.4
2008,10,3.2,8,14.8
2008,11,-1.2,1.9,6.1
2008,12,-5.1,-2.4,1.7
2009,1,-7.4,-3.9,2
2009,2,-6.7,-2.3,4.8
2009,3,-2.7,1.9,8.5
2009,4,1.6,7.1,14.5
2009,5,6.2,13.7,21.8
2009,6,8.5,14.8,21.9
2009,7,10.8,17.3,24.7
2009,8,11.2,17.9,26.4
2009,9,7.2,12.9,20.6
2009,10,2.7,7.2,13.7
2009,11,-0.9,2.2,7.1
2009,12,-6.1,-3.2,0.5
2010,1,-8.5,-4.7,0.7
2010,2,-6.2,-2.1,3.6
2010,3,-2.9,2.1,9
2010,4,1,7.8,15.2
2010,5,6,10.8,16.6
2010,6,9,15.7,23
2010,7,10.6,18.2,26.7
2010,8,10.3,16.2,23.3
2010,9,5.8,11.1,18.3
2010,10,1.1,5.3,11.8
2010,11,0.1,2.9,6.5
2010,12,-6.9,-3.7,0.4
2011,1,-6.2,-2.8,2.5
2011,2,-4.5,-0.3,7.3
2011,3,-1.8,3.4,11.2
2011,4,1.3,9,18.2
2011,5,4.1,12.5,21.1
2011,6,9.6,15,21.6
2011,7,9.7,16,23.5
2011,8,10,17.2,26.2
2011,9,8.6,14.6,23
2011,10,1.2,6.4,14.5
2011,11,-2,1.3,8
2011,12,-5.6,-2.3,2.2
2012,1,-8.8,-4.3,3.2
2012,2,-8.5,-3,4.5
2012,3,-1.5,5.7,15.7
2012,4,1.8,7.3,13.7
2012,5,5,12.2,20.1
2012,6,9.7,16.5,23.8
2012,7,10.4,17.3,25.4
2012,8,10.8,17.6,26.2
2012,9,6.9,12.5,19.7
2012,10,3.5,7.7,14.2
2012,11,-0.1,2.9,7.2
2012,12,-7.2,-4,0.8
2013,1,-5.3,-1.8,3.6
2013,2,-7.7,-2.9,3.9
2013,3,-2.1,1.6,7.5
2013,4,3.2,8.1,14.6
2013,5,5.3,10.1,16
2013,6,6.9,14.5,22.7
2013,7,10.6,18.1,26.9
2013,8,9.3,16.7,25.6
2013,9,7,13,20.5
2013,10,5.3,9,14.2
2013,11,0.1,3.1,6.9
2013,12,-4.7,-1.7,3.3
2014,1,-3.4,-0.8,3.5
2014,2,-1.6,0.9,5.3
2014,3,-1.9,3.2,12
2014,4,1.8,8.1,15.7
2014,5,4.4,11.2,17.9
2014,6,8.4,15.1,23.2
2014,7,10.3,15.9,22.4
2014,8,9.8,15,22
2014,9,7.8,13,20.4
2014,10,5.5,9.6,16.2
2014,11,3.5,5.9,9.6
2014,12,-2.4,0.3,3.7
2015,1,-5.4,-1.9,3.8
2015,2,-4.5,-0.6,6.2
2015,3,-1.5,3.6,10.8
2015,4,0.6,7.8,15.5
2015,5,7,12.6,19.1
2015,6,9.2,15.9,23.4
2015,7,12.7,19.9,28.2
2015,8,11.2,17.4,25.4
2015,9,6.6,11.8,18.4
2015,10,3.5,7.3,13.1
2015,11,-2.5,1.6,9.6
2015,12,-6.3,-3,3
2016,1,-6.6,-2.9,3
2016,2,-1.9,0.8,5
2016,3,-1.3,3.1,9.5
2016,4,2.7,8.3,14.8
2016,5,5.4,11.1,17.5
2016,6,9.7,15.3,22
2016,7,11.1,17.4,25
2016,8,9.8,16.3,24.5
2016,9,8.4,14,21.7
2016,10,2.8,7,12.8
2016,11,-0.2,2.8,6.8
2016,12,-6.2,-2.9,3.1
