Year,Month,Min,Avg,Max
1994,1,0.8,4.6,8.6
1994,2,1,4.7,8.5
1994,3,5,10.5,16.7
1994,4,7.4,11.8,16.4
1994,5,11.7,17.2,21.9
1994,6,15.8,21,26
1994,7,19.3,25.3,30.8
1994,8,19.9,25.3,30.8
1994,9,15.2,19.7,24.7
1994,10,9.2,13.4,18.2
1994,11,8.2,10.4,12.7
1994,12,2.6,5.1,7.6
1995,1,-1,3,7.2
1995,2,1.8,5.8,10.1
1995,3,2.6,7.5,12.3
1995,4,6.5,11.4,16.3
1995,5,11.7,16.6,21.5
1995,6,14.2,19.1,24
1995,7,18.9,24.8,30
1995,8,17.1,22.1,27.5
1995,9,12.6,17.8,23.2
1995,10,9.7,14.3,20.7
1995,11,3.8,7.7,11.9
1995,12,2.4,5.1,7.9
1996,1,2.9,5.3,7.7
1996,2,0.1,3.9,7.8
1996,3,2.1,6.4,10.7
1996,4,8,12.7,17.6
1996,5,12,17.5,22.7
1996,6,15.6,21.7,27.1
1996,7,15.6,21.8,27.1
1996,8,16.9,22.3,27.6
1996,9,12,16.6,21.6
1996,10,10.2,13.9,18.4
1996,11,7,10,13.3
1996,12,2.2,4.8,7.7
1997,1,1.8,4.5,7.8
1997,2,1.6,5.6,10.9
1997,3,3.4,9.7,16.5
1997,4,5,10.8,16.1
1997,5,12.1,17.7,22.9
1997,6,16,20.8,25.4
1997,7,16.6,22.5,28.1
1997,8,17.3,22.8,28.1
1997,9,13.9,19.7,25.9
1997,10,10.2,14.4,18.9
1997,11,6.2,9.2,12.6
1997,12,2.6,5.2,8.1
1998,1,2.1,4.6,7.3
1998,2,0.2,5.8,13.2
1998,3,2,8.1,13.7
1998,4,7.5,12.3,17.6
1998,5,11.7,17.4,22.5
1998,6,16.1,22.1,27.4
1998,7,18.2,24,29.3
1998,8,17.9,24.1,30
1998,9,13.7,18.7,23.9
1998,10,9.6,14,19.5
1998,11,4.1,7.5,11.3
1998,12,-0.6,2,5.6
1999,1,-0.3,2.6,6.7
1999,2,-2.3,3.3,9.1
1999,3,3.6,8.6,13.9
1999,4,7.7,12.9,18
1999,5,13.3,18.5,23.4
1999,6,15.3,21,26.2
1999,7,17.8,23.5,28.9
1999,8,17.9,23.3,29.1
1999,9,15.6,20.8,26.9
1999,10,11.1,14.6,19.1
1999,11,4.1,7.1,10.7
1999,12,0,3.2,6.9
2000,1,-3.4,0.4,5.5
2000,2,-0.4,4.4,10.3
2000,3,3.5,8.6,14.1
2000,4,9,14.1,19.3
2000,5,13.1,19.2,24.7
2000,6,15.7,22.4,28
2000,7,15.9,22.1,27.9
2000,8,17.8,23.9,30.4
2000,9,13.9,19.5,25.5
2000,10,11.8,15.3,19.5
2000,11,6.6,10.3,14.4
2000,12,3,5.9,9
2001,1,2.8,5.3,8.1
2001,2,0.6,5.5,11.1
2001,3,6.5,10.7,15.5
2001,4,5.8,11.7,17.2
2001,5,13.6,19.4,25.1
2001,6,14.3,20.7,26.6
2001,7,17.9,23.9,29.8
2001,8,18.4,24.9,31.7
2001,9,11.5,16.8,23.4
2001,10,11.6,15.3,20
2001,11,4,7.3,11.3
2001,12,-2.3,1.5,5.7
2002,1,-2.2,1.3,6.4
2002,2,2.9,6,9.4
2002,3,4.1,9.7,15.9
2002,4,7.7,12.4,16.8
2002,5,12.8,17.9,22.6
2002,6,16.7,22.8,27.9
2002,7,18.1,23.4,28.6
2002,8,17.9,22.7,28
2002,9,14.3,18.3,23
2002,10,10.6,14.8,19.7
2002,11,8.3,11.6,14.8
2002,12,4.4,6.4,8.5
2003,1,0.1,3.4,7
2003,2,-2.4,2.6,7.9
2003,3,3.1,8.5,14
2003,4,7.1,11.6,16.1
2003,5,13.4,19.2,24.6
2003,6,19.6,25.4,30.2
2003,7,19.3,25,29.7
2003,8,21.1,27,32.8
2003,9,13.6,18.5,23.7
2003,10,8.6,12.7,16.8
2003,11,7.6,10.2,13.3
2003,12,2.2,5.5,9.1
2004,1,-0.8,2.3,5.4
2004,2,0.2,3.5,7.8
