Year,Month,Min,Avg,Max
1994,1,0.4,4,8.8
1994,2,0,3.9,8.4
1994,3,4,10.7,18.3
1994,4,5.6,11.2,17
1994,5,10.8,17.3,23.1
1994,6,14,20.9,27.6
1994,7,17.4,24.7,32.6
1994,8,16.9,24.3,32.6
1994,9,12.7,18.3,25.1
1994,10,6.5,11.7,18.3
1994,11,7.5,9.5,12.1
1994,12,1.7,4.2,6.7
1995,1,-3.3,1.1,6.3
1995,2,1,5.1,9.8
1995,3,1.6,7.3,13.3
1995,4,5.9,11.9,18.4
1995,5,10.4,16.3,22.6
1995,6,13.3,19,25.2
1995,7,17.3,24.4,31.5
1995,8,14.9,21.2,28.4
1995,9,10.1,16.3,23.5
1995,10,6.2,12.2,20.6
1995,11,1.1,6.2,12
1995,12,1.3,3.7,6.7
1996,1,1.2,3.8,6.5
1996,2,-1.2,2.7,7.3
1996,3,1.1,6.4,11.7
1996,4,6.9,12.7,19.1
1996,5,10.7,17.4,24.3
1996,6,13.9,21.3,28.7
1996,7,14.3,21.3,28.4
1996,8,14.8,21.3,29
1996,9,9.6,15.4,22.2
1996,10,7.6,12.3,17.9
1996,11,4.1,7.6,11.6
1996,12,1.9,4.6,8.3
1997,1,-0.5,3.1,7.8
1997,2,-0.3,4.5,10.8
1997,3,1.9,9.5,17.6
1997,4,2.7,10.8,18.2
1997,5,10,17.6,24.5
1997,6,14.5,20.1,25.9
1997,7,14.4,21.9,29.6
1997,8,15.5,22.1,29.3
1997,9,10.8,18.7,27.9
1997,10,6.3,12.6,19.4
1997,11,3.4,7.5,11.9
1997,12,1.1,4.1,7.5
1998,1,-0.3,3.1,6.6
1998,2,-1.9,4.9,13.5
1998,3,0,7.6,15.1
1998,4,6.2,11.7,17.5
1998,5,10.3,17.3,24.2
1998,6,15,21.8,28.6
1998,7,16.6,23.7,31.2
1998,8,15.6,23.2,31.6
1998,9,11.6,17.8,25
1998,10,7.1,12.3,18.7
1998,11,-0.2,4.7,10.6
1998,12,-3.5,0.6,5.1
1999,1,-1.7,1.8,6.6
1999,2,-3.5,2.5,9.4
1999,3,2.7,8.4,14.7
1999,4,6.6,12.7,19.4
1999,5,13,18.9,25.1
1999,6,14,20.9,28.2
1999,7,16.2,23.2,30.7
1999,8,16.1,22.7,30.1
1999,9,12.7,19.4,27.2
1999,10,8.6,13.1,18.6
1999,11,1.7,5.2,9.3
1999,12,-2.6,1.3,5.5
2000,1,-4.7,-0.7,4.4
2000,2,-1.6,3.8,10.4
2000,3,2.1,8.5,15.1
2000,4,7.7,13.9,20
2000,5,12.2,19.1,26.4
2000,6,13.9,22.1,29.8
2000,7,14.3,21.5,29.1
2000,8,15,23.2,32.1
2000,9,11.7,18.6,26.9
2000,10,10.1,13.9,18.4
2000,11,4.9,8.8,13
2000,12,2.3,5.2,8.5
2001,1,2,4.3,7.1
2001,2,-0.2,5.3,11.2
2001,3,5.5,10.1,14.5
2001,4,6.1,12,18
2001,5,13.5,19.8,26.5
2001,6,13.5,20.9,27.9
2001,7,16.5,23.4,30.5
2001,8,16.4,24.1,32.3
2001,9,9.1,15.9,23.7
2001,10,10.2,15.3,22
2001,11,1.1,5.7,10.7
2001,12,-5.3,-0.2,5.3
2002,1,-5.3,-0.5,5.5
2002,2,2,5.5,9.7
2002,3,2.8,10.1,18
2002,4,6.8,12.7,18.7
2002,5,12,18.1,24.8
2002,6,16.1,23.4,30.8
2002,7,16.4,23.2,30.8
2002,8,16.2,22.5,30.2
2002,9,11.8,17.6,24.9
2002,10,8.6,13.5,19.2
2002,11,6.8,10.5,14
2002,12,3.4,5.5,7.7
2003,1,-0.8,2.3,6.2
2003,2,-3.5,2.1,8.7
2003,3,1.5,8.7,16.2
2003,4,6.2,12,17.4
2003,5,12.1,20.1,27.4
2003,6,18.2,25.3,32.4
2003,7,17.5,25.1,32
2003,8,19,26.7,35
2003,9,10.2,17.6,25.4
2003,10,6,11.4,16.5
2003,11,5.3,8.9,12.7
2003,12,0.5,4.3,8.1
2004,1,-0.8,2.2,5.4
2004,2,-0.2,3,7.6
2004,3,3.1,7.5,12.3
2004,4,7.7,12.9,18.3
2004,5,10.2,16.4,22.4
2004,6,14.6,21.4,27.9
2004,7,15.3,22.8,29.8
2004,8,16.1,23,30.2
2004,9,11.8,18.5,25.7
2004,10,11.7,15.3,19.4
2004,11,3.4,8.1,13.1
2004,12,0.9,4.5,9
2005,1,-2.4,0.7,5.2
2005,2,-2.5,2.3,7.8
2005,3,2.3,7.8,13.9
2005,4,6.4,12.1,17.5
2005,5,11.9,18.4,24.5
2005,6,14.9,22.4,28.9
2005,7,16.6,23.5,30.6
2005,8,14.6,20.9,27.5
2005,9,13.9,19.4,25.8
2005,10,9.8,13.4,17.7
2005,11,3.9,7,10.3
2005,12,-1.2,2.2,6
2006,1,-2.1,1.2,5
2006,2,0.1,3.6,8.4
2006,3,2.7,7.4,12.6
2006,4,7.5,13.5,19.4
2006,5,10.9,17.5,23.5
2006,6,14.1,21.8,28.8
2006,7,17.2,25.1,32.5
2006,8,14.2,20.3,27
2006,9,13.3,19.7,27
2006,10,8.7,14.5,21.3
2006,11,3.5,8.2,13.4
2006,12,1.8,5,9.3
2007,1,2.4,5.2,8.3
2007,2,2.5,6.3,11
2007,3,4.6,10.1,15.8
2007,4,8.5,16,23.3
2007,5,12.4,19.2,25.6
2007,6,15.3,21.9,28.2
2007,7,15.2,24.1,32.2
2007,8,15.1,22.2,29.5
2007,9,11.4,17.8,24.7
2007,10,6.9,12.7,19.1
2007,11,1.3,6.4,12.4
2007,12,-1.3,2.1,6.7
2008,1,1.5,4.5,8.1
2008,2,-0.1,4.5,10.3
2008,3,3.1,8.6,14.2
2008,4,7,12.7,18.2
2008,5,12.3,18.6,24.5
2008,6,15.8,21.6,27.7
2008,7,16.1,23.4,30.6
2008,8,16.2,23.7,31.5
2008,9,11.9,17.9,24.9
2008,10,8,14,20.8
2008,11,4.9,8.2,12.2
2008,12,1.3,4.1,7.2
2009,1,-0.9,1.9,5
2009,2,0,4.6,9.8
2009,3,2.9,8.6,14.4
2009,4,9,13.9,19.2
2009,5,13.1,20.2,26.9
2009,6,15.2,22,28.5
2009,7,17.4,24,30.7
2009,8,17.3,24.9,32.7
2009,9,12.9,19.8,27.3
2009,10,7,13,19.2
2009,11,6.1,9.1,12.1
2009,12,-1.1,2.5,6.2
2010,1,-0.5,1.8,4.1
2010,2,1,4.5,8.3
2010,3,3.2,7.9,12.9
2010,4,7.1,13.5,19.6
2010,5,11.8,17.4,22.7
2010,6,16,22.1,28
2010,7,18,25.1,32.1
2010,8,15.9,22.6,29.4
2010,9,12.1,17.7,24.1
2010,10,6.8,11.7,17.4
2010,11,6.2,8.9,11.7
2010,12,-0.9,1.9,5.2
2011,1,0.4,2.6,5.2
2011,2,0.4,4.2,9.6
2011,3,4.6,9.4,14.5
2011,4,8.7,15.8,22.5
2011,5,12.4,19.8,26.4
2011,6,16,22.1,28.1
2011,7,16,22.9,29.6
2011,8,16.3,24.5,32.9
2011,9,15.1,21.5,29.2
2011,10,5.9,12.3,19.3
2011,11,3.2,6.6,11.6
2011,12,0.1,3.5,7.8
2012,1,-2.3,1.2,6.4
2012,2,-3.6,1.4,7.2
2012,3,3,11.3,19.5
2012,4,7.6,12.6,17.8
2012,5,11.4,17.6,23.9
2012,6,16.4,23.4,29.8
2012,7,17.2,24.9,32.1
2012,8,16.8,25.4,33.5
2012,9,13.6,19.2,25.7
2012,10,9.5,14.2,20
2012,11,6.2,9.8,13.9
2012,12,-0.8,1.9,5.4
2013,1,0.8,3.3,6.3
2013,2,-0.1,3.7,8.4
2013,3,4,7.6,11.7
2013,4,8.8,13.7,18.7
2013,5,11.4,16.5,21.9
2013,6,15.8,22.1,28.3
2013,7,18.3,25.2,31.9
2013,8,16.6,23.6,30.9
2013,9,13.1,19.3,26.2
2013,10,11.8,15.1,18.9
