Year,Month,Min,Avg,Max
1994,1,-0.5,4.1,9.6
1994,2,-1.4,3.3,8.5
1994,3,4.1,10.3,16.9
1994,4,5.6,11.2,16.3
1994,5,11.5,17.2,22.6
1994,6,14.9,20.9,27.3
1994,7,17.3,24.6,32
1994,8,17.1,24.2,31.9
1994,9,13.6,18.6,25.1
1994,10,6.8,12.3,19
1994,11,5.6,9,13.8
1994,12,-0.1,3.4,8
1995,1,-4.1,1,7.8
1995,2,-0.4,4.6,9.9
1995,3,1.1,7,12.8
1995,4,4.8,11.1,17.5
1995,5,10.5,16.3,21.9
1995,6,13.5,18.9,25.2
1995,7,17.9,24.7,32.7
1995,8,15.1,21.2,28.7
1995,9,10.5,16.4,23.6
1995,10,6.7,13.3,22.4
1995,11,1.3,6.4,12.2
1995,12,1,4.1,7.8
1996,1,0.8,3.9,7.8
1996,2,-2.6,2.3,7.8
1996,3,0.2,6,11.6
1996,4,6.8,12.6,18.6
1996,5,11.2,17.3,23.6
1996,6,14.4,21.5,28.6
1996,7,14.4,21,27.6
1996,8,14.7,21,27.9
1996,9,9.9,15.5,21.8
1996,10,7.7,12.3,17.7
1996,11,4.2,8.2,12.9
1996,12,-1.2,2.7,7.4
1997,1,-0.4,3.8,9.3
1997,2,-1.5,4.1,10.8
1997,3,0.9,9.2,17.3
1997,4,2.9,10.7,18.2
1997,5,10.6,17.7,24.7
1997,6,14.5,20.1,26.1
1997,7,14.5,21.9,30
1997,8,15.9,22.1,29.6
1997,9,11.7,18.8,27.4
1997,10,6.1,12.1,19.1
1997,11,3.8,7.8,12.9
1997,12,0.8,4.3,8.4
1998,1,-0.7,3.2,7.9
1998,2,-1.9,5.1,14.1
1998,3,0.1,7.3,14.5
1998,4,6.6,11.6,17.2
1998,5,10.8,17.9,25.1
1998,6,14.8,21.5,29
1998,7,16.4,23.6,31.4
1998,8,16.1,23.7,32.2
1998,9,11.9,17.7,24.8
1998,10,7.1,12.2,18.9
1998,11,-0.7,4.9,12
1998,12,-4.6,0.7,7.9
1999,1,-3.6,1.7,9.1
1999,2,-4.7,1.8,9.8
1999,3,2.1,8.3,15.2
1999,4,6.6,12.9,20.1
1999,5,12.7,18.5,25.2
1999,6,13.6,20.8,28.6
1999,7,15.8,23,31.1
1999,8,16.1,22.4,30.2
1999,9,13.1,19.8,28.5
1999,10,8.3,13.4,20.5
1999,11,1.8,6.1,13.2
1999,12,-3.1,1.5,7.8
2000,1,-5.6,-0.2,7.7
2000,2,-2.5,3.7,11.2
2000,3,1.9,8,15
2000,4,8.5,14.5,21.1
2000,5,11.9,19.1,27.3
2000,6,14.4,22.4,31.3
2000,7,14.6,21.6,29.8
2000,8,15.9,23.7,33.1
2000,9,12,18.9,27.6
2000,10,9.8,14.1,20
2000,11,4.9,9,14.4
2000,12,1.1,5.2,10.2
2001,1,1,4.4,8.3
2001,2,-1,4.9,12
2001,3,5.5,10,14.8
2001,4,5.2,11.7,18.9
2001,5,13.1,19.9,27.7
2001,6,12.5,20.3,28.2
2001,7,16.4,23.2,30.8
2001,8,16.6,24,32.5
2001,9,9.6,16,24.1
2001,10,11,15.8,22.7
2001,11,1.6,6.4,13.2
2001,12,-5,0.1,7.9
2002,1,-4.8,0.5,7.8
2002,2,1.6,5.3,9.8
2002,3,3.8,10.4,17
2002,4,7.3,12.6,18.1
2002,5,12.4,17.8,23.6
2002,6,16.4,22.6,29.1
2002,7,16.8,22.8,30
2002,8,16.2,22.1,29.1
2002,9,12.5,17.8,24.7
2002,10,8.8,13.6,19.7
2002,11,6.7,10.4,14.7
2002,12,2.2,5.5,9
2003,1,-1.1,2.6,8.1
2003,2,-4.5,1.9,9.4
2003,3,1.7,8.8,16.4
2003,4,6.3,12,17.4
2003,5,12.6,20.3,28
2003,6,18.1,25.3,33.1
2003,7,17.8,24.9,32
2003,8,19.4,27,35.3
2003,9,11.4,17.9,25.6
2003,10,6.7,11.6,16.8
2003,11,5.8,9.4,13.8
2003,12,-0.1,4.5,9.8
2004,1,-2.2,1.6,5.8
2004,2,-0.8,2.9,7.6
2004,3,3.1,7.6,12.5
2004,4,7.9,12.9,18.3
2004,5,9.9,15.7,21.8
2004,6,15,21,27.4
2004,7,16.2,23.1,30.5
2004,8,16.6,23.1,30.5
2004,9,12.1,18.4,25.7
2004,10,12.1,15.4,19.5
2004,11,2.9,7.7,13.9
2004,12,0.1,4.5,10.7
2005,1,-3.7,0.7,7.1
2005,2,-3.7,1.6,7.9
2005,3,1.5,7.4,13.7
2005,4,6.2,11.6,17.1
2005,5,11.9,18.3,24.5
2005,6,15.4,22.1,28.4
2005,7,16.9,23.2,29.7
2005,8,14.6,20.4,26.7
2005,9,13.8,19,25.1
2005,10,9.2,13.2,18.1
2005,11,3.1,6.8,11.5
2005,12,-2.4,2,7.3
2006,1,-3.2,1,6.9
2006,2,-1.1,3.3,8.6
2006,3,2.1,6.9,11.6
2006,4,6.9,13,18.9
2006,5,11.2,17.2,22.9
2006,6,14.6,21.8,28.7
2006,7,18.5,25.7,33
2006,8,14.4,20,26.2
2006,9,13.6,19.7,26.6
2006,10,9.6,14.8,21.3
2006,11,3.8,8.6,14.5
2006,12,0.6,4.8,10.4
2007,1,0.6,4.7,9.5
2007,2,2,6.7,12.1
2007,3,4.3,9.8,15.7
2007,4,8.9,16.1,23.4
2007,5,12.6,18.9,25.3
2007,6,16,22,28.2
2007,7,16,23.7,31.8
2007,8,15.8,22,29.2
2007,9,10.9,17,24
2007,10,7.1,12.4,18.5
2007,11,1.7,6.6,12.9
2007,12,-2.1,2.3,8.6
2008,1,1,4.4,8.9
2008,2,-0.8,4,10.1
2008,3,2.8,7.8,13
2008,4,6.6,12,17.7
2008,5,12.1,17.9,23.8
2008,6,16.2,21.8,27.8
2008,7,16.6,23.4,31
2008,8,16.8,23.4,31.2
2008,9,12.1,17.6,24.4
2008,10,8.4,14,21
2008,11,4.1,8,13.2
2008,12,0.5,3.9,8.4
2009,1,-1.1,2.5,7.1
2009,2,-0.5,4.2,10
2009,3,2.7,8.4,14.3
2009,4,8.5,14.2,20.6
2009,5,13.2,20,27.1
2009,6,14.6,21,28.1
2009,7,16.7,23.5,30.7
2009,8,17.8,24.8,32.7
2009,9,13.9,20.1,27.3
2009,10,7.9,13.3,19.9
2009,11,5.7,9,12.8
2009,12,-1.1,2.9,7.3
2010,1,-2,1.5,5.7
2010,2,0.5,4.3,8.9
2010,3,2.8,7.7,12.9
